"Date","Last"
2016-02-02,376.09
2016-02-03,370.85
2016-02-04,390.34
2016-02-05,387.8
2016-02-06,377.07
2016-02-07,377.1
2016-02-08,373.49
2016-02-09,374.85
2016-02-10,381.54
2016-02-11,379.02
2016-02-12,386.94
2016-02-13,392.98
2016-02-14,407.6
2016-02-15,400.94
2016-02-16,407.5
2016-02-17,417.35
2016-02-18,421.85
2016-02-19,420.62
2016-02-20,437.86
2016-02-21,439.87
2016-02-22,440.91
2016-02-23,421.83
2016-02-24,426.41
2016-02-25,423.92
2016-02-26,434.29
2016-02-27,434.91
2016-02-28,434.4
2016-02-29,438.2
2016-03-01,436.18
2016-03-02,424.37
2016-03-03,421.18
2016-03-04,410.09
2016-03-05,399.26
2016-03-06,407.05
2016-03-07,415.04
2016-03-08,414.27
2016-03-09,415.46
2016-03-10,418.58
2016-03-11,422.29
2016-03-12,412.06
2016-03-13,414.25
2016-03-14,417.24
2016-03-15,418.5
2016-03-16,419.43
2016-03-17,422.35
2016-03-18,410.15
2016-03-19,410.22
2016-03-20,414.07
2016-03-21,414.49
2016-03-22,418.91
2016-03-23,420.67
2016-03-24,417.94
2016-03-25,419.1
2016-03-26,418.84
2016-03-27,425.28
2016-03-28,424.85
2016-03-29,417.13
2016-03-30,414.88
2016-03-31,418.23
2016-04-01,417.94
2016-04-02,420.71
2016-04-03,421.67
2016-04-04,421.5
2016-04-05,424.02
2016-04-06,424.14
2016-04-07,422.82
2016-04-08,420.55
2016-04-09,420.17
2016-04-10,422.43
2016-04-11,424.62
2016-04-12,426.18
2016-04-13,424.12
2016-04-14,424.02
2016-04-15,431
2016-04-16,433.07
2016-04-17,429.07
2016-04-18,430.63
2016-04-19,435.9
2016-04-20,442.68
2016-04-21,450.76
2016-04-22,447.52
2016-04-23,452.99
2016-04-24,459.9
2016-04-25,465.03
2016-04-26,467.52
2016-04-27,448.96
2016-04-28,448.93
2016-04-29,455.82
2016-04-30,450.84
2016-05-01,454.01
2016-05-02,445.59
2016-05-03,452.18
2016-05-04,448.38
2016-05-05,449.89
2016-05-06,461.82
2016-05-07,461.34
2016-05-08,461.37
2016-05-09,468.6
2016-05-10,452.66
2016-05-11,454.66
2016-05-12,456.2
2016-05-13,458.23
2016-05-14,459.6
2016-05-15,462.22
2016-05-16,457.38
2016-05-17,455.87
2016-05-18,458
2016-05-19,444.96
2016-05-20,443.53
2016-05-21,446.13
2016-05-22,441.5
2016-05-23,446.05
2016-05-24,449.1
2016-05-25,452.41
2016-05-26,455.88
2016-05-27,474.04
2016-05-28,529.48
2016-05-29,519.13
2016-05-30,534.68
2016-05-31,533.29
2016-06-01,538.95
2016-06-02,542.06
2016-06-03,568.9
